iata_code,name,type,state,elevation_ft,latitude,longitude
PQS,Pilot Station Airport,small_airport,AK,305,-162.899994,61.934601
NUP,Nunapitchuk Airport,small_airport,AK,12,-162.440454,60.905591
KKK,Kalakaket Creek AS Airport,small_airport,AK,1598,-156.820392609,64.4166256967
GCT,Grand Canyon Bar Ten Airstrip,small_airport,AZ,4100,-113.231003,36.259701
KOZ,Ouzinkie Airport,small_airport,AK,55,-152.496715,57.925362
WKK,Aleknagik / New Airport,medium_airport,AK,66,-158.617996216,59.2826004028
BWL,Earl Henry Airport,small_airport,OK,1054,-97.3170013428,36.7958984375
DUF,Pine Island Airport,small_airport,NC,16,-75.7884979248,36.2535018921
REE,Reese Airpark,small_airport,TX,3338,-102.03700256348,33.590301513672
WDN,Waldronaire Airport,small_airport,WA,140,-123.017997742,48.7117996216
WTL,Tuntutuliak Airport,small_airport,AK,16,-162.667007446,60.3353004456
BSZ,Bartletts Airport,small_airport,AK,50,-157.352005005,58.2162017822
AQY,Girdwood Airport,small_airport,AK,150,-149.126007,60.966099
CHP,Circle Hot Springs Airport,small_airport,AK,956,-144.610992432,65.485496521
CKD,Crooked Creek Airport,small_airport,AK,178,-158.134994507,61.8679008484
HLI,Hollister Municipal Airport,small_airport,CA,230,-121.410003662,36.8932991028
CZK,Cascade Locks State Airport,small_airport,OR,151,-121.878997803,45.6768989563
DJN,Delta Junction Airport,small_airport,AK,1150,-145.716995239,64.0503997803
FLT,Flat Airport,small_airport,AK,309,-157.988998413,62.452598571799996
GMT,Granite Mountain Air Station,small_airport,AK,1313,-161.2810059,65.40209961
AMK,Animas Air Park,small_airport,CO,6684,-107.869003296,37.203201293899994
TWD,Jefferson County International Airport,small_airport,WA,108,-122.810997009,48.0537986755
PRW,Prentice Airport,small_airport,WI,1578,-90.279297,45.542999
ECA,Iosco County Airport,small_airport,MI,606,-83.422302,44.312801
ATE,Antlers Municipal Airport,small_airport,OK,575,-95.6499023438,34.1926002502
QWG,Wilgrove Air Park,small_airport,NC,799,-80.67009735110001,35.2137985229
ABR,Aberdeen Regional Airport,medium_airport,SD,1302,-98.42179870605469,45.449100494384766
ACK,Nantucket Memorial Airport,medium_airport,MA,47,-70.06020355,41.25310135
ACV,California Redwood Coast-Humboldt County Airport,medium_airport,CA,221,-124.109,40.978101
ADM,Ardmore Municipal Airport,small_airport,OK,777,-97.0196342,34.30301
ALX,Thomas C Russell Field,small_airport,AL,686,-85.9629974365,32.914699554399995
ANY,Anthony Municipal Airport,small_airport,KS,1340,-98.079597,37.158501
APH,A P Hill AAF (Fort A P Hill) Airport,small_airport,VA,220,-77.318298,38.068902
ARA,Acadiana Regional Airport,medium_airport,LA,24,-91.883904,30.0378
ARG,Walnut Ridge Regional Airport,small_airport,AR,279,-90.925111,36.124667
ARV,Lakeland-Noble F. Lee Memorial field,small_airport,WI,1629,-89.73090363,45.92789841
ATL,Hartsfield Jackson Atlanta International Airport,large_airport,GA,1026,-84.428101,33.6367
ATS,Artesia Municipal Airport,small_airport,NM,3541,-104.468002319,32.8525009155
ATY,Watertown Regional Airport,medium_airport,SD,1749,-97.15470123,44.91400146
AUS,Austin Bergstrom International Airport,large_airport,TX,542,-97.6698989868164,30.194499969482422
AUW,Wausau Downtown Airport,medium_airport,WI,1201,-89.6266021729,44.9262008667
AVL,Asheville Regional Airport,large_airport,NC,2165,-82.54180145263672,35.43619918823242
AVP,Wilkes Barre Scranton International Airport,medium_airport,PA,962,-75.72339630130001,41.338500976599995
AXG,Algona Municipal Airport,small_airport,IA,1219,-94.2720031738,43.0778999329
AXS,Altus Quartz Mountain Regional Airport,small_airport,OK,1433,-99.3385,34.697952
BAD,Barksdale Air Force Base,large_airport,LA,166,-93.6626968384,32.5018005371
BAF,Westfield-Barnes Regional Airport,medium_airport,MA,271,-72.715599,42.157799
BAM,Battle Mountain Airport,small_airport,NV,4532,-116.874000549,40.598999023400005
BDR,Igor I Sikorsky Memorial Airport,medium_airport,CT,9,-73.1261978149414,41.16350173950195
BFL,Meadows Field,medium_airport,CA,510,-119.0569992,35.43360138
BGM,Greater Binghamton/Edwin A Link field,medium_airport,NY,1636,-75.97979736,42.20869827
BID,Block Island State Airport,small_airport,RI,108,-71.577796936,41.1680984497
BLM,Monmouth Executive Airport,small_airport,NJ,153,-74.12490082,40.18690109
BMC,Brigham City Regional Airport,small_airport,UT,4229,-112.061996,41.552399
BNL,Barnwell Regional Airport,small_airport,SC,246,-81.38829803,33.25780106
BNW,Boone Municipal Airport,small_airport,IA,1160,-93.8476028442,42.0495986938
HCA,Big Spring Mc Mahon-Wrinkle Airport,small_airport,TX,2573,-101.522003,32.212601
BQK,Brunswick Golden Isles Airport,medium_airport,GA,26,-81.46649932861328,31.258800506591797
BRD,Brainerd Lakes Regional Airport,medium_airport,MN,1232,-94.13809967,46.39830017
BRO,Brownsville South Padre Island International Airport,medium_airport,TX,22,-97.4259033203125,25.90679931640625
BTM,Bert Mooney Airport,medium_airport,MT,5550,-112.49700164794922,45.95479965209961
TTO,Britton Municipal Airport,small_airport,SD,1318,-97.743103027344,45.815200805664
BTP,Pittsburgh/Butler Regional Airport,small_airport,PA,1248,-79.949699,40.776901
BTR,Baton Rouge Metropolitan Airport,medium_airport,LA,70,-91.149597,30.533199
BUR,Bob Hope Airport,medium_airport,CA,778,-118.35900115966797,34.20069885253906
BVX,Batesville Regional Airport,small_airport,AR,465,-91.64730072,35.7262001
BWD,Brownwood Regional Airport,small_airport,TX,1387,-98.9564971924,31.793600082399998
BYS,Bicycle Lake Army Air Field,medium_airport,CA,2350,-116.629997253,35.2804985046
BZN,Gallatin Field,medium_airport,MT,4473,-111.1529999,45.77750015
CAK,Akron Canton Regional Airport,medium_airport,OH,1228,-81.44219970703125,40.916099548339844
CBE,Greater Cumberland Regional Airport,small_airport,MD,775,-78.7609024048,39.615398407
CCB,Cable Airport,small_airport,CA,1444,-117.68800354,34.1115989685
CEY,Kyle Oakley Field,small_airport,KY,577,-88.37280273,36.66460037
CHK,Chickasha Municipal Airport,small_airport,OK,1152,-97.96769714,35.09740067
CKA,Kegelman AF Aux Field,small_airport,OK,1202,-98.1231002808,36.7439002991
GRM,Grand Marais Cook County Airport,small_airport,MN,1799,-90.38289642330001,47.8382987976
CKV,ClarksvilleâMontgomery County Regional Airport,small_airport,TN,550,-87.4150009155,36.6218986511
CLE,Cleveland Hopkins International Airport,large_airport,OH,791,-81.8498001099,41.4117012024
CMI,University of Illinois Willard Airport,medium_airport,IL,755,-88.27809906,40.03919983
CNK,Blosser Municipal Airport,small_airport,KS,1486,-97.6522979736,39.549301147499996
CNY,Canyonlands Field,small_airport,UT,4557,-109.7549973,38.75500107
CPS,St Louis Downtown Airport,small_airport,IL,413,-90.1561965942,38.570701599100005
CRO,Corcoran Airport,small_airport,CA,197,-119.595001,36.102502
CRP,Corpus Christi International Airport,large_airport,TX,44,-97.5011978149414,27.77039909362793
CRT,Z M Jack Stell Field,small_airport,AR,184,-91.8802032471,33.1782989502
