iata_code,name,type,state,elevation_ft,latitude,longitude
CSE,Crested Butte Airpark,small_airport,CO,8980,-106.928341,38.851918
PMX,Metropolitan Airport,small_airport,MA,418,-72.31140136719999,42.223300933800004
ICY,Icy Bay Airport,small_airport,AK,50,-141.662002563,59.96900177
DRF,Drift River Airport,small_airport,AK,30,-152.162002563,60.588901519800004
PDB,Pedro Bay Airport,small_airport,AK,45,-154.12399292,59.7896003723
FOB,Fort Bragg Airport,small_airport,CA,71,-123.79599762,39.4743003845
SOL,Solomon State Field,small_airport,AK,25,-164.4457,64.5605
TWE,Taylor Airport,small_airport,AK,440,-164.798995972,65.6792984009
CDL,Candle 2 Airport,small_airport,AK,15,-161.925994873,65.907699585
BSW,Boswell Bay Airport,small_airport,AK,230,-146.145996094,60.4230995178
BKG,Branson Airport,small_airport,MO,1302,-93.200544,36.532082
BYA,Boundary Airport,small_airport,AK,2940,-141.113006592,64.0783004761
CKX,Chicken Airport,small_airport,AK,1640,-141.95199585,64.0712966919
CHZ,Chiloquin State Airport,small_airport,OR,4217,-121.879062653,42.579440493
NRI,Grand Lake Regional Airport,small_airport,OK,792,-94.86190032959,36.577598571777
FMU,Florence Municipal Airport,small_airport,OR,51,-124.111000061,43.98279953
OTS,Anacortes Airport,small_airport,WA,241,-122.662003,48.499
ADG,Lenawee County Airport,small_airport,MI,798,-84.07730102539999,41.8676986694
AFF,USAF Academy Airfield,small_airport,CO,6572,-104.8130035,38.96969986
AFW,Fort Worth Alliance Airport,large_airport,TX,722,-97.31880187990001,32.9875984192
AHH,Amery Municipal Airport,small_airport,WI,1088,-92.37539672850001,45.2811012268
AIA,Alliance Municipal Airport,small_airport,NE,3931,-102.804000854,42.0531997681
ALM,Alamogordo White Sands Regional Airport,medium_airport,NM,4200,-105.990997314,32.8399009705
AMA,Rick Husband Amarillo International Airport,large_airport,TX,3607,-101.706001,35.219398
ANP,Lee Airport,small_airport,MD,34,-76.568398,38.942902
APA,Centennial Airport,medium_airport,CO,5885,-104.848999,39.57009888
ARB,Ann Arbor Municipal Airport,small_airport,MI,839,-83.74559783939999,42.2229995728
AUZ,Aurora Municipal Airport,small_airport,IL,712,-88.47570037839999,41.771900177
BFT,Beaufort County Airport,small_airport,SC,10,-80.6343994141,32.4122009277
ASE,Aspen-Pitkin Co/Sardy Field,medium_airport,CO,7820,-106.8690033,39.22320175
SPZ,Springdale Municipal Airport,small_airport,AR,1353,-94.1193008423,36.176399231
ASL,Harrison County Airport,small_airport,TX,357,-94.307800293,32.5205001831
AXN,Chandler Field,medium_airport,MN,1425,-95.39469909670001,45.8662986755
CLU,Columbus Municipal Airport,medium_airport,IN,656,-85.8963012695,39.2619018555
BDE,Baudette International Airport,medium_airport,MN,1086,-94.612197876,48.7284011841
BDG,Blanding Municipal Airport,small_airport,UT,5868,-109.4830017,37.58330154
BFD,Bradford Regional Airport,medium_airport,PA,2143,-78.64009857177734,41.8031005859375
BGE,Decatur County Industrial Air Park,small_airport,GA,141,-84.63739777,30.9715004
BKL,Burke Lakefront Airport,medium_airport,OH,583,-81.68329620361328,41.51750183105469
BKT,Allen C Perkinson Blackstone Army Air Field,small_airport,VA,439,-77.9574966431,37.0741996765
BKW,Raleigh County Memorial Airport,medium_airport,WV,2504,-81.1241989136,37.787300109899995
BLF,Mercer County Airport,medium_airport,WV,2857,-81.20770263671875,37.295799255371094
