iata_code,name,type,state,elevation_ft,latitude,longitude
JCY,LBJ Ranch Airport,small_airport,TX,1515,-98.62249755859999,30.251800537100003
LVD,Lime Village Airport,small_airport,AK,552,-155.440002441,61.3591003418
BDF,Rinkenberger Restricted Landing Area,small_airport,IL,808,-89.61569976810001,41.230899810800004
VRS,Roy Otten Memorial Airfield,small_airport,MO,1030,-92.875198364258,38.427799224854
ATT,Atmautluak Airport,small_airport,AK,17,-162.272995,60.866699
TNK,Tununak Airport,small_airport,AK,14,-165.27200317383,60.575500488281
NNK,Naknek Airport,small_airport,AK,70,-157.02000427246,58.732898712158
KLL,Levelock Airport,small_airport,AK,39,-156.85899353,59.128101348899996
KCQ,Chignik Lake Airport,small_airport,AK,50,-158.774993896,56.2550010681
ILL,Willmar Municipal -John L Rice Field,small_airport,MN,1126,-95.13040161,45.11769867
CKR,Crane Island Airstrip,small_airport,WA,108,-122.9979,48.5978
DCK,Dahl Creek Airport,small_airport,AK,260,-156.904998779,66.9432983398
GFD,Pope Field,small_airport,IN,895,-85.7360992432,39.790298461899994
HAY,Haycock Airport,small_airport,AK,175,-161.156997681,65.20099639889999
HPV,Princeville Airport,small_airport,HI,344,-159.445999146,22.209199905400002
HKB,Healy Lake Airport,small_airport,AK,1180,-144.6926,63.9958
HNE,Tahneta Pass Airport,small_airport,AK,2960,-147.304000854,61.901401519800004
EUE,Eureka Airport,small_airport,NV,5954,-116.004997253,39.604198455799995
AHD,Ardmore Downtown Executive Airport,small_airport,OK,844,-97.1227035522,34.1469993591
COP,Cooperstown-Westville Airport,small_airport,NY,1260,-74.89099884030001,42.6291999817
CIL,Council Airport,small_airport,AK,85,-163.70300293,64.89790344240001
GCD,Grand Coulee Dam Airport,small_airport,WA,1588,-119.083000183,47.922000885
SBO,Salina Gunnison Airport,small_airport,UT,5159,-111.837997437,39.029098510699995
JVI,Central Jersey Regional Airport,small_airport,NJ,86,-74.59839630130001,40.5243988037
GOL,Gold Beach Municipal Airport,small_airport,OR,20,-124.4240036,42.41339874
KKT,Kentland Municipal Airport,small_airport,IN,698,-87.42819976810001,40.7587013245
EGP,Maverick County Memorial International Airport,small_airport,TX,887,-100.512001,28.85720062
ASQ,Austin Airport,small_airport,NV,5730,-117.195,39.467998
ABE,Lehigh Valley International Airport,medium_airport,PA,393,-75.44080352783203,40.652099609375
ABQ,Albuquerque International Sunport,large_airport,NM,5355,-106.609001,35.040199
ABY,Southwest Georgia Regional Airport,medium_airport,GA,197,-84.19450378417969,31.535499572753906
ACB,Antrim County Airport,small_airport,MI,623,-85.198402,44.988602
ACT,Waco Regional Airport,medium_airport,TX,516,-97.23049926757812,31.611299514770508
WSG,Washington County Airport,small_airport,PA,1184,-80.29019927979999,40.1365013123
AFN,Jaffrey Airport Silver Ranch Airport,small_airport,NH,1040,-72.0029983521,42.805099487300005
AGO,Ralph C Weiser Field,small_airport,AR,319,-93.217002,33.228001
AHN,Athens Ben Epps Airport,medium_airport,GA,808,-83.32630157470703,33.94860076904297
AIO,Atlantic Municipal Airport,small_airport,IA,1165,-95.04689789,41.40729904
AIV,George Downer Airport,small_airport,AL,150,-88.1978,33.106499
ALS,San Luis Valley Regional Bergman Field,medium_airport,CO,7539,-105.866997,37.434898
ALW,Walla Walla Regional Airport,medium_airport,WA,1194,-118.288002,46.09489822
AND,Anderson Regional Airport,medium_airport,SC,782,-82.70939636230001,34.4945983887
ANQ,Tri State Steuben County Airport,small_airport,IN,995,-85.083504,41.639702
APG,Phillips Army Air Field,medium_airport,MD,57,-76.1688,39.466202
ART,Watertown International Airport,medium_airport,NY,325,-76.02169799804688,43.99190139770508
ASN,Talladega Municipal Airport,small_airport,AL,529,-86.05090332030001,33.569900512699995
AVO,Avon Park Executive Airport,small_airport,FL,160,-81.52780151,27.59119987
AVW,Marana Regional Airport,small_airport,AZ,2031,-111.218002319,32.4095993042
AYS,Waycross Ware County Airport,small_airport,GA,142,-82.39550018310001,31.2490997314
TUH,Arnold Air Force Base,small_airport,TN,1067,-86.08580017,35.39260101
BAB,Beale Air Force Base,large_airport,CA,113,-121.43699646,39.136100769
BBB,Benson Municipal Airport,small_airport,MN,1039,-95.6505966187,45.331901550299996
BCE,Bryce Canyon Airport,medium_airport,UT,7590,-112.144996643,37.706401825
BFF,Western Neb. Rgnl/William B. Heilig Airport,medium_airport,NE,3967,-103.5960007,41.87400055
BFM,Mobile Downtown Airport,medium_airport,AL,26,-88.06809997559999,30.626800537100003
BHM,Birmingham-Shuttlesworth International Airport,large_airport,AL,650,-86.75350189,33.56290054
BIE,Beatrice Municipal Airport,small_airport,NE,1324,-96.75409698490002,40.301300048799995
BIF,Biggs Army Air Field (Fort Bliss),medium_airport,TX,3946,-106.3799973,31.84950066
BIH,Eastern Sierra Regional Airport,medium_airport,CA,4124,-118.363998413,37.3731002808
BIL,Billings Logan International Airport,large_airport,MT,3652,-108.54299926757812,45.807701110839844
BIX,Keesler Air Force Base,medium_airport,MS,33,-88.92440032959999,30.4104003906
BJC,Rocky Mountain Metropolitan Airport,medium_airport,CO,5673,-105.1169968,39.90879822
BLH,Blythe Airport,medium_airport,CA,399,-114.717002869,33.6192016602
BLI,Bellingham International Airport,medium_airport,WA,170,-122.53800201416016,48.79280090332031
BMG,Monroe County Airport,medium_airport,IN,846,-86.61669921875,39.145999908447266
WMH,Ozark Regional Airport,medium_airport,AR,928,-92.47049713130001,36.3689002991
BRY,Samuels Field,small_airport,KY,669,-85.4996032715,37.8143005371
BVO,Bartlesville Municipal Airport,small_airport,OK,711,-96.01119995,36.76250076
BYH,Arkansas International Airport,medium_airport,AR,254,-89.94400024410001,35.9642982483
XES,Grand Geneva Resort Airport,small_airport,WI,835,-88.389603,42.614899
CIG,Craig Moffat Airport,small_airport,CO,6193,-107.522003174,40.4952011108
CAR,Caribou Municipal Airport,medium_airport,ME,626,-68.0178985596,46.871498107899995
CBM,Columbus Air Force Base,large_airport,MS,219,-88.44380187990001,33.6437988281
CDW,Essex County Airport,small_airport,NJ,173,-74.2814025879,40.875198364300005
CEV,Mettel Field,small_airport,IN,867,-85.129699707,39.6985015869
TZC,Tuscola Area Airport,small_airport,MI,701,-83.445503234863,43.458801269531
CFV,Coffeyville Municipal Airport,small_airport,KS,754,-95.5718994141,37.09400177
CID,The Eastern Iowa Airport,large_airport,IA,869,-91.71080017089844,41.884700775146484
CIU,Chippewa County International Airport,medium_airport,MI,800,-84.47239685058594,46.25080108642578
KCL,Chignik Lagoon Airport,small_airport,AK,25,-158.5359955,56.31119919
CLI,Clintonville Municipal Airport,small_airport,WI,822,-88.731300354,44.613800048799995
CLM,William R Fairchild International Airport,medium_airport,WA,291,-123.5,48.120201110839844
CLW,Clearwater Air Park,small_airport,FL,71,-82.7586975098,27.9766998291
CMX,Houghton County Memorial Airport,medium_airport,MI,1095,-88.48909759521484,47.168399810791016
CMY,Sparta Fort Mc Coy Airport,small_airport,WI,837,-90.7379,43.958302
CNU,Chanute Martin Johnson Airport,medium_airport,KS,1002,-95.4850997925,37.668800354
COD,Yellowstone Regional Airport,medium_airport,WY,5102,-109.024002075,44.520198822
COI,Merritt Island Airport,small_airport,FL,6,-80.6855010986,28.341600418099997
