iata_code,name,type,state,elevation_ft,latitude,longitude
OCA,Ocean Reef Club Airport,small_airport,FL,8,-80.274803161621,25.325399398804
MHS,Dunsmuir Muni-Mott Airport,small_airport,CA,3258,-122.272003,41.263199
OTN,Ed-Air Airport,small_airport,IN,426,-87.4997024536,38.851398468
CWS,Center Island Airport,small_airport,WA,115,-122.832000732,48.4901008606
CHU,Chuathbaluk Airport,small_airport,AK,244,-159.216003,61.579102
UGS,Ugashik Airport,small_airport,AK,25,-157.399002075,57.5279006958
TWA,Twin Hills Airport,small_airport,AK,82,-160.27299499512,59.07559967041
HED,Herendeen Bay Airport,small_airport,AK,20,-160.899002075,55.801399231
TGE,Sharpe Field,small_airport,AL,253,-85.7755966187,32.4919013977
CKU,Cordova Municipal Airport,small_airport,AK,12,-145.727005005,60.5438995361
CXC,Chitina Airport,small_airport,AK,556,-144.427001953,61.582901001
CZN,Chisana Airport,small_airport,AK,3318,-142.04800415,62.0712013245
CZO,Chistochina Airport,small_airport,AK,1850,-144.669006348,62.5634994507
JLA,Quartz Creek Airport,small_airport,AK,450,-149.718994141,60.48270034789999
HUD,Humboldt Municipal Airport,small_airport,IA,1093,-94.2452011108,42.736099243199995
CKE,Lampson Field,small_airport,CA,1379,-122.901000977,38.9906005859
CNE,Fremont County Airport,small_airport,CO,5439,-105.106002808,38.428001403799996
IRB,Iraan Municipal Airport,small_airport,TX,2200,-101.891998291,30.9057006836
GNF,Gansner Field,small_airport,CA,3415,-120.945,39.943902
GTP,Grants Pass Airport,small_airport,OR,1126,-123.388,42.510101
ROL,Roosevelt Municipal Airport,small_airport,UT,5172,-110.051003,40.278301
WPO,North Fork Valley Airport,small_airport,CO,5798,-107.646003723,38.8316993713
ADT,Ada Regional Airport,small_airport,OK,1016,-96.671303,34.804298
ADS,Addison Airport,small_airport,TX,644,-96.8364028931,32.9686012268
AEL,Albert Lea Municipal Airport,small_airport,MN,1260,-93.36720276,43.68149948
AGC,Allegheny County Airport,medium_airport,PA,1252,-79.9301986694336,40.354400634765625
AGS,Augusta Regional At Bush Field,large_airport,GA,144,-81.9645004272461,33.36989974975586
AIZ,Lee C Fine Memorial Airport,small_airport,MO,869,-92.54949951170002,38.0960006714
AKO,Colorado Plains Regional Airport,small_airport,CO,4714,-103.222000122,40.1755981445
ALN,St Louis Regional Airport,medium_airport,IL,544,-90.0459976196,38.89030075069999
AMW,Ames Municipal Airport,small_airport,IA,956,-93.621803,41.992001
ANB,Anniston Regional Airport,medium_airport,AL,612,-85.8581,33.5882
SLT,Harriet Alexander Field,small_airport,CO,7523,-106.04900360107,38.538299560547
APF,Naples Municipal Airport,medium_airport,FL,8,-81.7752990723,26.1525993347
APN,Alpena County Regional Airport,medium_airport,MI,690,-83.56030273,45.0780983
AST,Astoria Regional Airport,medium_airport,OR,15,-123.878997803,46.158000946
AUG,Augusta State Airport,medium_airport,ME,352,-69.7973022461,44.320598602299995
AUM,Austin Municipal Airport,small_airport,MN,1234,-92.93340302,43.66500092
AUN,Auburn Municipal Airport,small_airport,CA,1539,-121.0820007,38.95479965
AWM,West Memphis Municipal Airport,small_airport,AR,212,-90.2343978882,35.1351013184
AXX,Angel Fire Airport,small_airport,NM,8380,-105.290000916,36.422000885
AZO,Kalamazoo Battle Creek International Airport,medium_airport,MI,874,-85.5521011352539,42.234901428222656
BBD,Curtis Field,medium_airport,TX,1827,-99.3238983154,31.1793003082
WBU,Boulder Municipal Airport,small_airport,CO,5288,-105.225997925,40.0393981934
