iata_code,name,type,state,elevation_ft,latitude,longitude
HGZ,Hog River Airport,small_airport,AK,534,-155.6690063,66.2161026
TLF,Telida Airport,small_airport,AK,650,-153.26899719238,63.393901824951
BZT,Eagle Air Park,small_airport,TX,15,-95.579696655273,28.982200622559
BYW,Blakely Island Airport,small_airport,WA,66,-122.825996399,48.578998565700005
LIV,Livengood Camp Airport,small_airport,AK,425,-148.6534,65.467
BCS,Southern Seaplane Airport,small_airport,LA,"",-90.0222015381,29.8661003113
TEK,Tatitlek Airport,small_airport,AK,62,-146.690297,60.871449
SSW,Stuart Island Airpark,small_airport,WA,10,-123.17600250244,48.672901153564
AXB,Maxson Airfield,small_airport,NY,340,-75.90034,44.312002
CEX,Chena Hot Springs Airport,small_airport,AK,1195,-146.04699707,65.0518035889
LNI,Lonely Air Station,small_airport,AK,17,-153.2420044,70.91069794
BOK,Brookings Airport,small_airport,OR,459,-124.290001,42.0746
IUA,Canandaigua Airport,small_airport,NY,814,-77.325226,42.908902
RGR,Ranger Municipal Airport,small_airport,TX,1470,-98.682800293,32.4525985718
GAB,Gabbs Airport,small_airport,NV,4700,-117.958999634,38.924098968500005
GNU,Goodnews Airport,small_airport,AK,15,-161.57699585,59.117401123
GVE,Gordonsville Municipal Airport,small_airport,VA,454,-78.165802002,38.15599823
BDX,Broadus Airport,small_airport,MT,3280,-105.4540024,45.47249985
KPT,Jackpot Airport/Hayden Field,small_airport,NV,5213,-114.657997131,41.97600173949999
RLA,Rolla Downtown Airport,small_airport,MO,987,-91.8134994506836,37.935699462890625
FID,Elizabeth Field,small_airport,NY,9,-72.0316009521,41.25130081179999
HCC,Columbia County Airport,small_airport,NY,198,-73.7102966309,42.2913017273
GCW,Grand Canyon West Airport,small_airport,AZ,4825,-113.816001892,35.990398407
ROF,Montague-Yreka Rohrer Field,small_airport,CA,2527,-122.54599762,41.7304000854
LTW,St. Mary's County Regional Airport,small_airport,MD,142,-76.5501022339,38.3153991699
AHF,Arapahoe Municipal Airport,small_airport,NE,2270,-99.90650177,40.339500427199994
PCT,Princeton Airport,small_airport,NJ,128,-74.6588973999,40.3992004395
CTO,Calverton Executive Airpark,small_airport,NY,75,-72.7919006348,40.9151000977
NLE,Jerry Tyler Memorial Airport,small_airport,MI,750,-86.225196838379,41.835899353027
VLE,Valle Airport,small_airport,AZ,5999,-112.14800262451,35.65060043335
FPY,Perry-Foley Airport,small_airport,FL,44,-83.58059692,30.0692997
NTJ,Manti-Ephraim Airport,small_airport,UT,5500,-111.6149979,39.32910156
UCE,Eunice Airport,small_airport,LA,42,-92.423797607422,30.466299057007
BLD,Boulder City Municipal Airport,small_airport,NV,2201,-114.861000061,35.9474983215
MFH,Mesquite Airport,small_airport,NV,1978,-114.0550003,36.83499908
CTK,Canton Municipal Airport,small_airport,SD,1290,-96.570999,43.308899
AAF,Apalachicola Regional Airport,small_airport,FL,20,-85.02749634,29.72750092
ABI,Abilene Regional Airport,medium_airport,TX,1791,-99.68190002440001,32.4113006592
ACY,Atlantic City International Airport,medium_airport,NJ,75,-74.57720184326172,39.45759963989258
ADW,Joint Base Andrews,large_airport,MD,280,-76.866997,38.810799
AEX,Alexandria International Airport,medium_airport,LA,89,-92.54979705810547,31.32740020751953
AFO,Afton Municipal Airport,small_airport,WY,6221,-110.942001343,42.7112007141
AHC,Amedee Army Air Field,small_airport,CA,4012,-120.1529999,40.26620102
AID,Anderson Municipal Darlington Field,small_airport,IN,919,-85.6129989624,40.10860061649999
AIK,Aiken Regional Airport,small_airport,SC,528,-81.684998,33.649399
AKC,Akron Fulton International Airport,medium_airport,OH,1067,-81.4669036865,41.0374984741
ALB,Albany International Airport,medium_airport,NY,285,-73.80169677734375,42.74829864501953
ALI,Alice International Airport,medium_airport,TX,178,-98.02690124510002,27.740900039699998
ALO,Waterloo Regional Airport,medium_airport,IA,873,-92.40029907226562,42.557098388671875
AMN,Gratiot Community Airport,small_airport,MI,754,-84.68800354,43.322101593
ANW,Ainsworth Regional Airport,small_airport,NE,2589,-99.992995,42.579201
AOH,Lima Allen County Airport,small_airport,OH,975,-84.026703,40.706902
AOO,Altoona Blair County Airport,medium_airport,PA,1503,-78.31999969,40.29639816
APC,Napa County Airport,small_airport,CA,35,-122.280998,38.2132
APT,Marion County Brown Field,small_airport,TN,641,-85.585297,35.060699
APV,Apple Valley Airport,small_airport,CA,3062,-117.185997009,34.575298309299995
WHT,Wharton Regional Airport,small_airport,TX,100,-96.1544036865,29.254299163800003
ASH,Boire Field,small_airport,NH,199,-71.51480102539999,42.7817001343
