cic_id,port,arrive_state,arrive_month
1195600,OGG,FL,4
1387607,BOS,MA,4
4299497,NYC,NY,4
2522724,NEW,NY,4
267021,BOS,MA,4
3686758,NYC,NY,4
5245089,CLT,KY,4
2914164,NEW,IN,4
4709156,CLT,SC,4
1389098,NYC,NY,4
2711123,NEW,CA,4
2913751,CLT,FL,4
2013603,DAL,TX,4
48659,LVG,NV,4
3136802,SFR,WA,4
5250382,LOS,CA,4
5710005,NEW,NY,4
4885133,PHI,FL,4
1195419,OGG,CA,4
3343735,BOS,MA,4
4518344,SFR,NV,4
1195982,OGG,FL,4
1020076,LVG,NY,4
852513,LOS,CA,4
1606014,DAL,TX,4
48878,LOS,CA,4
1390539,CHI,TN,4
266409,ATL,GA,4
5250285,DAL,TX,4
3517920,PHI,CO,4
2340245,LOS,NY,4
480428,MIA,FL,4
3135817,SEA,FL,4
4711317,NYC,NY,4
4078254,CHI,IL,4
1193133,CHI,AL,4
5248600,CHI,IL,4
5714054,PHI,FL,4
5246711,NYC,NY,4
5714501,FMY,FL,4
5713141,MIA,FL,4
4882428,ATL,AL,4
4302956,NYC,NY,4
852702,DAL,CA,4
2916461,MIA,FL,4
674661,NYC,NY,4
3870400,ATL,CA,4
3133114,FTL,VA,4
3874218,SFR,CA,4
715185,ORL,FL,4
1434452,MIA,NC,4
2741251,HOU,CA,4
3371259,KOA,TX,4
3898468,NYC,NY,4
873857,SFR,CA,4
1217552,NYC,NY,4
4912411,SFR,CA,4
3898364,NYC,NY,4
1040289,LOS,CA,4
1413332,PHI,CA,4
1848870,NEW,NY,4
697792,ATL,GA,4
1040218,NYC,NY,4
873211,WAS,MD,4
5692439,HOU,NV,4
2326063,NYC,NJ,4
4338296,MAA,MA,4
2901425,LOS,CA,4
3115632,MIA,FL,4
3503887,NYC,NY,4
2167869,BOS,NY,4
3726176,MIA,GA,4
5301075,TOR,IL,4
5662583,NEW,NY,4
1349112,PHO,NY,4
1975402,DET,FL,4
3652390,LOS,LA,4
3083727,FTL,FL,4
435495,BOS,MA,4
5015059,CHI,IL,4
1860945,WAS,VA,4
5515091,CHI,IA,4
86265,KOA,FL,4
3549552,NYC,FL,4
5293311,NYC,NY,4
4042798,ORL,FL,4
239999,FTL,NY,4
4866976,NEW,NY,4
647849,ORL,FL,4
4054245,NEW,NJ,4
1170620,NYC,NY,4
1170649,LOS,CA,4
823410,ORL,FL,4
1984857,ATL,FL,4
1333584,MIA,MA,4
1481650,ATL,GA,4
3001596,CLT,CA,4
2615091,MIA,FL,4
4338665,NYC,CA,4
2209939,NYC,NY,4
5342910,HOU,TX,4
3959662,HOU,MD,4
1695849,ATL,GA,4
751451,OTM,CA,4
4168875,ATL,FL,4
3548734,ORL,FL,4
3425763,HOU,TX,4
1481945,HOU,PA,4
5418580,SFR,CA,4
626444,LVG,WA,4
982263,LOS,HI,4
5418335,CHI,NV,4
982461,MIA,FL,4
2479583,TAM,FL,4
3484147,MIA,FL,4
3907700,TAM,VA,4
5881744,MIA,FL,4
4084316,HHW,HI,4
5056736,PHI,HI,4
2721962,NEW,HI,4
5472659,NEW,NY,4
4086972,SFR,CA,4
3148387,TAM,CA,4
2351028,FTL,CA,4
2027276,SFR,MO,4
2926213,SPM,CA,4
1028660,MIL,CA,4
680812,BOS,MA,4
2720247,HHW,HI,4
5475279,HHW,HI,4
3147418,TAM,TX,4
54324,LOS,HI,4
1396100,HHW,HI,4
4526989,CHI,TN,4
5062245,LOS,CA,4
2023436,HHW,HI,4
276351,HHW,HI,4
684429,NYC,NY,4
5483093,LOS,NV,4
1026490,DET,HI,4
685207,LOS,FL,4
4082575,HHW,HI,4
2720964,CHI,HI,4
2723913,ORL,NV,4
1826960,DAL,NM,4
2346741,OGG,HI,4
4525494,HOU,TN,4
3145084,SFR,HI,4
5472156,DAL,TX,4
5484369,CHI,TN,4
485199,DET,MI,4
4718538,HHW,HI,4
4522231,PHO,DC,4
2025435,NYC,NY,4
5252852,BOS,MA,4
54317,HHW,HI,4
4718122,HHW,HI,4
1025877,ATL,HI,4
5064157,SEA,WA,4
4718060,HHW,HI,4
56107,HHW,HI,4
2187824,HHW,HI,4
682147,HHW,HI,4
56519,HHW,HI,4
2023167,HHW,HI,4
5724253,HHW,HI,4
4525560,HOU,TX,4
858814,HHW,HI,4
3352680,HHW,HI,4
5724005,HHW,HI,4
5258247,HHW,HI,4
2536368,ORL,TN,4
985523,CHM,NY,4
3097076,NYC,NY,4
1787495,MIA,FL,4
2887088,MIA,FL,4
4255430,NYC,FL,4
5016696,NYC,NY,4
2489526,LOS,CA,4
2489005,MON,IL,4
224390,DET,LA,4
1983761,NYC,CO,4
2487808,MIA,AL,4
1782513,NYC,NY,4
229043,LOS,NV,4
3085571,ATL,CA,4
4038162,NYC,NY,4
5665973,NYC,NY,4
5206051,WAS,MD,4
1351033,FMY,NY,4
5428448,FTL,WA,4
1564821,WAS,MD,4
1977165,ATL,VA,4
630827,CHM,NY,4
636324,CHI,NC,4
2307913,BOS,MA,4
1570667,CHI,IL,4
5020014,MIA,IN,4
3095246,SDP,CA,4
1566033,NYC,NY,4
3655992,NYC,NY,4
3656427,NYC,NY,4
2308338,NEW,NY,4
442028,NYC,FL,4
3838865,NYC,NY,4
5206668,NYC,NY,4
2882086,CHI,NY,4
2884981,SFR,CA,4
1782990,NYC,NY,4
442884,SFR,CA,4
2673594,NYC,NY,4
2486203,NYC,NY,4
3837135,MIA,FL,4
2884459,CHI,IL,4
3835875,NYC,NY,4
991350,MIA,FL,4
5429364,ORL,FL,4
441018,WPB,NV,4
1355619,MIA,FL,4
5018908,MON,FL,4
2883298,MIA,FL,4
45531,CHI,IL,4
1817106,DET,MI,4
2012102,BOS,MA,4
216657,FTL,FL,4
4469436,MIA,FL,4
2301889,MIA,FL,4
2870032,FTL,MD,4
5899181,OPF,FL,4
3481574,HOU,NY,4
2147566,MIA,FL,4
2477529,MIA,FL,4
5415601,MIA,FL,4
624009,HOU,TX,4
2869687,MIA,OH,4
4248046,MIA,CA,4
5655662,PSP,FL,4
1969525,MIA,FL,4
215616,ATL,GA,4
1344231,SFR,TX,4
1772879,LLB,TX,4
3826085,ATL,MN,4
3481453,NCA,FL,4
3078710,MIA,FL,4
2302459,FTL,FL,4
4013399,NYC,NE,4
1056530,NAS,GA,4
3914231,LVG,FL,4
2759806,NAS,FL,4
888522,FTL,IN,4
5291768,LOS,CA,4
2209495,CLT,LA,4
2048872,WAS,DC,4
2466971,FTL,FL,4
2139030,PSP,HI,4
4462449,ORL,FL,4
2863583,MIA,FL,4
4842142,ORL,FL,4
2655122,LOS,CA,4
2653900,MIA,GA,4
2295923,FTL,FL,4
2859612,MIA,MS,4
3475529,MIA,FL,4
3639514,ORL,NV,4
4459037,ORL,FL,4
4017499,MIA,FL,4
1143832,MIA,MA,4
2652805,ATL,FL,4
4842948,FTL,FL,4
1960284,NYC,NY,4
2139998,MIA,FL,4
4236787,MIA,NY,4
3640076,PHO,FL,4
2469865,BOS,FL,4
5886229,FTL,FL,4
1334404,MIA,CA,4
2656268,MIA,FL,4
2293512,NYC,MA,4
2142356,PHI,FL,4
3069265,ATL,CA,4
3071228,MIA,FL,4
1964434,MIA,FL,4
2468972,DAL,CA,4
5002887,NYC,NY,4
2859914,MIA,FL,4
5646741,ORL,FL,4
811826,OGG,NY,4
867033,LOS,NV,4
691843,NYC,NY,4
4471633,NYC,NY,4
3079773,NYC,NY,4
2343856,LVG,NV,4
5008746,NYC,NY,4
3076465,NYC,CT,4
5653283,MIA,FL,4
1553590,MIA,FL,4
1553520,NYC,NY,4
5653917,CHI,IL,4
621527,NYC,NJ,4
5411783,LOS,CA,4
428602,TAM,NY,4
2751431,OGG,PA,4
4422636,MCA,TX,4
2826530,SNJ,CA,4
5835717,DET,FL,4
4805034,HOU,PA,4
3599863,HOU,TX,4
4969309,ATL,VA,4
935114,LVG,NV,4
4407381,LVG,NV,4
4406725,HOU,CA,4
1496112,FTL,TX,4
1936298,DLR,TX,4
5136021,MIA,FL,4
4806300,ORL,FL,4
4187631,SNA,CA,4
4210478,LOS,CA,4
5826788,POO,NV,4
4178297,PHO,TX,4
5832309,SFR,CO,4
3442997,ORL,FL,4
3765424,BOS,MA,4
4800385,ATL,MI,4
2635148,SNJ,CA,4
2258431,ORL,FL,4
4406370,FTL,FL,4
1498315,SEA,FL,4
4616564,HOU,FL,4
2424686,RNO,NV,4
3253815,LVG,NV,4
3599914,WAS,MI,4
2107301,MIA,GA,4
157256,LOS,CA,4
5827765,PHO,OK,4
751810,OAK,CA,4
1721456,DET,MI,4
4804280,DAL,CA,4
5827717,PHO,CA,4
155381,ATL,CA,4
2814946,ONT,CA,4
169126,LVG,CA,4
5835261,ATL,FL,4
3434626,CHI,IL,4
5591745,MIA,MI,4
3017841,LVG,LA,4
5834016,MIA,NV,4
561992,CHI,IL,4
5365953,HOU,PA,4
934333,HOU,CO,4
594975,LVG,AZ,4
3029600,LOS,CA,4
2825582,MIA,FL,4
5358837,NYC,TX,4
930868,WAS,DC,4
2264857,ATL,WI,4
3380572,LOS,FL,4
513779,SFR,TX,4
3178503,LOS,NV,4
5759722,NYC,CA,4
879820,ATL,FL,4
513953,LOS,CA,4
2209111,SFR,MA,4
1858517,SFR,CA,4
5760102,SFR,CA,4
3547150,LOS,CA,4
1422091,WAS,CA,4
4337016,LOS,GA,4
2948769,MIA,CA,4
1225506,SFR,CA,4
5512209,SFR,CA,4
5287221,PEM,IL,4
510204,CHI,IL,4
2371488,MIA,IL,4
1044320,NYC,MI,4
4106787,WAS,MA,4
3174311,HOU,TX,4
514906,NYC,MD,4
2495693,NYC,FL,4
2892078,NIA,NY,4
3845208,MIA,FL,4
13826,ATL,SC,4
354216,HOU,FL,4
5135218,MIA,CA,4
3664296,FTL,FL,4
235326,LOS,CA,4
235947,SEA,WA,4
1362272,LOS,CA,4
3426228,MIA,FL,4
4267184,NYC,NY,4
4487041,LOS,CA,4
1577711,NYC,NY,4
2683469,LVG,NV,4
641842,NYC,NY,4
6019750,LOS,NY,4
824863,NEW,NJ,4
1577932,FTL,NY,4
642558,MIA,FL,4
5433584,PHO,WA,4
1360834,NYC,NY,4
5429441,TAM,ME,4
2920807,MIA,WA,4
3140598,PHO,WA,4
5252446,NYC,NY,4
5471104,SEA,WA,4
4032526,BOS,MA,4
512308,NYC,CT,4
81344,FTL,TN,4
1046624,LOS,TX,4
1421234,MIA,NY,4
1046737,PBB,CA,4
1420768,NYC,CA,4
628369,NYC,NJ,4
2876316,CHI,IL,4
5510883,NYC,NY,4
1777652,CHI,IL,4
4231176,NYC,NJ,4
4231640,NEW,NJ,4
3468375,MIA,FL,4
